lvl00_desk_id,lvl00_org,lvl01_desk_id,lvl01_org,lvl02_desk_id,lvl02_org,lvl03_desk_id,lvl03_org,desk_id,org,state_flag,state_present,job_name,pct_of_lob
0,CEO,2,Finance,9,Fnnc - Accounting,92,Fnnc - Accntng - PSI,179,Fnnc - Accntng - PSI - IC01,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,92,Fnnc - Accntng - PSI,180,Fnnc - Accntng - PSI - IC02,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,92,Fnnc - Accntng - PSI,181,Fnnc - Accntng - PSI - IC03,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,92,Fnnc - Accntng - PSI,182,Fnnc - Accntng - PSI - IC04,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,92,Fnnc - Accntng - PSI,183,Fnnc - Accntng - PSI - IC05,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,92,Fnnc - Accntng - PSI,184,Fnnc - Accntng - PSI - IC06,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,92,Fnnc - Accntng - PSI,185,Fnnc - Accntng - PSI - IC07,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,92,Fnnc - Accntng - PSI,186,Fnnc - Accntng - PSI - IC08,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,92,Fnnc - Accntng - PSI,187,Fnnc - Accntng - PSI - IC09,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,93,Fnnc - Accntng - RAA,188,Fnnc - Accntng - RAA - IC01,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,93,Fnnc - Accntng - RAA,189,Fnnc - Accntng - RAA - IC02,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,93,Fnnc - Accntng - RAA,190,Fnnc - Accntng - RAA - IC03,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,93,Fnnc - Accntng - RAA,191,Fnnc - Accntng - RAA - IC04,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,93,Fnnc - Accntng - RAA,192,Fnnc - Accntng - RAA - IC05,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,94,Fnnc - Accntng - Project Services,193,Fnnc - Accntng - Project Services - IC01,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,94,Fnnc - Accntng - Project Services,194,Fnnc - Accntng - Project Services - IC02,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,94,Fnnc - Accntng - Project Services,195,Fnnc - Accntng - Project Services - IC03,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,94,Fnnc - Accntng - Project Services,196,Fnnc - Accntng - Project Services - IC04,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,94,Fnnc - Accntng - Project Services,197,Fnnc - Accntng - Project Services - IC05,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,94,Fnnc - Accntng - Project Services,198,Fnnc - Accntng - Project Services - IC06,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,94,Fnnc - Accntng - Project Services,199,Fnnc - Accntng - Project Services - IC07,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,94,Fnnc - Accntng - Project Services,200,Fnnc - Accntng - Project Services - IC08,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,94,Fnnc - Accntng - Project Services,201,Fnnc - Accntng - Project Services - IC09,FALSE,NA,NA,NA
0,CEO,2,Finance,9,Fnnc - Accounting,94,Fnnc - Accntng - Project Services,202,Fnnc - Accntng - Project Services - IC10,FALSE,NA,NA,NA
0,CEO,2,Finance,10,Fnnc - Financial Planning,95,Fnnc - Fnncl Plnnng - PSI,203,Fnnc - Fnncl Plnnng - PSI - IC01,FALSE,NA,NA,NA
0,CEO,2,Finance,10,Fnnc - Financial Planning,95,Fnnc - Fnncl Plnnng - PSI,204,Fnnc - Fnncl Plnnng - PSI - IC02,FALSE,NA,NA,NA
0,CEO,2,Finance,10,Fnnc - Financial Planning,95,Fnnc - Fnncl Plnnng - PSI,205,Fnnc - Fnncl Plnnng - PSI - IC03,FALSE,NA,NA,NA
0,CEO,2,Finance,10,Fnnc - Financial Planning,95,Fnnc - Fnncl Plnnng - PSI,206,Fnnc - Fnncl Plnnng - PSI - IC04,FALSE,NA,NA,NA
0,CEO,2,Finance,10,Fnnc - Financial Planning,95,Fnnc - Fnncl Plnnng - PSI,207,Fnnc - Fnncl Plnnng - PSI - IC05,FALSE,NA,NA,NA
0,CEO,2,Finance,10,Fnnc - Financial Planning,96,Fnnc - Fnncl Plnnng - RAA,208,Fnnc - Fnncl Plnnng - RAA - IC01,FALSE,NA,NA,NA
0,CEO,2,Finance,10,Fnnc - Financial Planning,96,Fnnc - Fnncl Plnnng - RAA,209,Fnnc - Fnncl Plnnng - RAA - IC02,FALSE,NA,NA,NA
0,CEO,2,Finance,10,Fnnc - Financial Planning,97,Fnnc - Fnncl Plnnng - Project Services,210,Fnnc - Fnncl Plnnng - Project Services - IC01,FALSE,NA,NA,NA
0,CEO,2,Finance,10,Fnnc - Financial Planning,97,Fnnc - Fnncl Plnnng - Project Services,211,Fnnc - Fnncl Plnnng - Project Services - IC02,FALSE,NA,NA,NA
0,CEO,2,Finance,10,Fnnc - Financial Planning,97,Fnnc - Fnncl Plnnng - Project Services,212,Fnnc - Fnncl Plnnng - Project Services - IC03,FALSE,NA,NA,NA
0,CEO,2,Finance,10,Fnnc - Financial Planning,97,Fnnc - Fnncl Plnnng - Project Services,213,Fnnc - Fnncl Plnnng - Project Services - IC04,FALSE,NA,NA,NA
0,CEO,2,Finance,10,Fnnc - Financial Planning,97,Fnnc - Fnncl Plnnng - Project Services,214,Fnnc - Fnncl Plnnng - Project Services - IC05,FALSE,NA,NA,NA
0,CEO,2,Finance,10,Fnnc - Financial Planning,97,Fnnc - Fnncl Plnnng - Project Services,215,Fnnc - Fnncl Plnnng - Project Services - IC06,FALSE,NA,NA,NA
0,CEO,2,Finance,10,Fnnc - Financial Planning,97,Fnnc - Fnncl Plnnng - Project Services,216,Fnnc - Fnncl Plnnng - Project Services - IC07,FALSE,NA,NA,NA
